individuals,bolt1,bolt1,bolt1,bolt1,bolt1,bolt1,bolt1,bolt1,bolt1,bolt1,bolt1,bolt1,bolt1,bolt1,bolt1,bolt1,bolt1,bolt1,bolt1,bolt1,bolt1,bolt1,bolt1,bolt1,nut1,nut1,nut1,nut1,nut1,nut1,nut1,nut1,nut1,nut1,nut1,nut1,nut1,nut1,nut1,nut1,nut1,nut1,jig1,jig1,jig1,jig1,jig1,jig1,jig1,jig1,jig1,jig1,jig1,jig1,bin1,bin1,bin1,bin1,bin1,bin1,bin1,bin1,bin1,bin1,bin1,bin1
bodyparts,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,bodypart4,bodypart4,bodypart4,bodypart5,bodypart5,bodypart5,bodypart6,bodypart6,bodypart6,bodypart7,bodypart7,bodypart7,bodypart8,bodypart8,bodypart8,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,bodypart4,bodypart4,bodypart4,bodypart5,bodypart5,bodypart5,bodypart6,bodypart6,bodypart6,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,bodypart4,bodypart4,bodypart4,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,bodypart4,bodypart4,bodypart4
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,1415.668,617.464,1.0,1398.891,605.513,1.0,1392.69,617.583,1.0,1397.458,625.93,0.9990000128746033,1409.292,630.15,0.49000000953674316,0.0,0.0,0.0,1424.2,595.837,1.0,1445.276,571.481,1.0,1263.95,591.789,1.0,1275.162,577.723,1.0,1261.201,566.119,1.0,1255.004,563.925,1.0,1250.182,576.139,1.0,1253.773,588.701,1.0,1022.3307495117188,622.1172485351562,0.9988792538642883,1031.1156005859375,536.1284790039062,0.9995539784431458,862.491943359375,535.6651611328125,0.9979580640792847,844.0877685546875,620.4035034179688,0.9924920201301575,1724.11181640625,799.2903442382812,0.996260404586792,1684.3048095703125,699.5157470703125,0.9995580315589905,1526.9183349609375,701.2498779296875,0.9985890984535217,1557.609130859375,802.4807739257812,0.9999516010284424
1,1415.668,617.753,1.0,1399.224,605.513,1.0,1392.754,617.583,1.0,1399.304,626.81,1.0,1409.292,630.405,1.0,1404.881,627.793,0.10100000351667404,1424.519,596.253,1.0,1445.89,572.184,1.0,1264.093,591.988,1.0,1275.162,577.723,1.0,1262.014,566.119,1.0,1255.115,568.741,1.0,1250.391,576.139,1.0,1253.806,588.701,1.0,1022.3307495117188,622.1880493164062,0.9989588260650635,1031.1478271484375,536.185546875,0.9995337724685669,862.491943359375,535.6803588867188,0.9979092478752136,844.1741943359375,620.4395141601562,0.9922558069229126,1724.11181640625,799.2903442382812,0.9964771866798401,1684.387939453125,699.794677734375,0.9994916915893555,1526.9254150390625,701.2532958984375,0.9984095692634583,1557.6517333984375,802.4915771484375,0.999944806098938
2,1415.668,617.753,1.0,1399.325,605.513,1.0,1392.861,617.583,1.0,1399.331,626.948,1.0,1409.638,630.405,1.0,1417.404,634.103,0.13699999451637268,1424.527,596.387,1.0,1446.092,572.276,1.0,1264.093,591.988,1.0,1275.171,578.524,1.0,1262.066,566.174,1.0,1255.115,568.807,1.0,1250.432,576.327,1.0,1253.806,588.845,1.0,1022.3363037109375,622.203125,0.9989234805107117,1031.150146484375,536.1976318359375,0.9995446801185608,862.491943359375,535.7029418945312,0.9978949427604675,844.1839599609375,620.4531860351562,0.9923807978630066,1724.113037109375,799.3345947265625,0.996799111366272,1684.3885498046875,699.7963256835938,0.9995212554931641,1526.9326171875,701.2685546875,0.9983837604522705,1557.6834716796875,802.4915771484375,0.999940037727356
3,1415.64,617.753,1.0,1399.224,605.513,1.0,1392.785,617.583,1.0,1399.525,627.078,1.0,1409.638,630.256,1.0,1412.057,628.304,0.5040000081062317,1424.527,596.472,1.0,1446.151,572.276,1.0,1263.95,591.814,1.0,1275.233,578.524,1.0,1262.066,566.119,1.0,1255.074,568.89,1.0,1250.607,576.309,1.0,1253.806,588.701,1.0,1022.3363037109375,622.203125,0.9989150762557983,1031.1622314453125,536.1976318359375,0.9995452761650085,862.4697875976562,535.7029418945312,0.9978074431419373,844.1741943359375,620.4826049804688,0.9924317598342896,1724.193115234375,799.3345947265625,0.9966613054275513,1684.407470703125,699.8016357421875,0.9995527863502502,1526.9326171875,701.3228759765625,0.998415470123291,1557.6834716796875,802.4807739257812,0.9999425411224365
4,1415.64,617.521,1.0,1399.323,605.513,1.0,1392.785,617.583,1.0,1399.937,627.078,1.0,1409.846,630.405,1.0,1412.059,628.4,0.42399999499320984,1424.55,596.387,1.0,1446.185,572.292,1.0,1263.95,591.789,1.0,1275.252,578.494,1.0,1262.034,566.119,1.0,1255.074,568.89,1.0,1250.607,576.309,1.0,1253.806,588.569,1.0,1022.3707885742188,622.1956787109375,0.9988976716995239,1031.162353515625,536.1976318359375,0.9995415210723877,862.4697875976562,535.7029418945312,0.9978086352348328,844.1741943359375,620.4826049804688,0.9926531314849854,1724.193115234375,799.3043212890625,0.9970786571502686,1684.451904296875,699.822998046875,0.999579131603241,1526.9326171875,701.32861328125,0.9984452128410339,1557.6834716796875,802.4723510742188,0.9999455213546753
5,1415.64,617.521,1.0,1399.325,605.733,1.0,1393.106,617.739,1.0,1399.943,627.085,1.0,1410.09,630.554,1.0,1412.059,628.4,0.5370000004768372,1424.778,596.253,1.0,1446.266,572.309,1.0,1264.013,591.634,1.0,1275.252,578.409,1.0,1262.034,566.134,1.0,1255.068,568.89,1.0,1250.607,576.309,1.0,1253.761,588.54,1.0,1022.3707885742188,622.1880493164062,0.9989114999771118,1031.196044921875,536.2080688476562,0.9995524287223816,862.454833984375,535.7029418945312,0.9977900981903076,844.1558227539062,620.4876708984375,0.9922466278076172,1724.224365234375,799.3320922851562,0.9971796274185181,1684.46337890625,699.8431396484375,0.999575674533844,1526.9254150390625,701.3419799804688,0.9984745383262634,1557.6705322265625,802.464111328125,0.9999481439590454
6,1415.642,617.317,1.0,1399.323,605.819,1.0,1393.183,617.901,1.0,1400.175,627.316,1.0,1410.245,630.357,1.0,1416.45,634.077,0.48500001430511475,1424.818,596.405,1.0,1446.348,572.309,1.0,1264.013,591.483,1.0,1275.252,578.494,1.0,1261.929,566.134,1.0,1255.068,568.785,1.0,1250.522,576.309,1.0,1253.74,588.321,1.0,1022.3729248046875,622.1583862304688,0.9989181756973267,1031.2012939453125,536.21337890625,0.9995414018630981,862.4697875976562,535.6817626953125,0.9979422688484192,844.1494750976562,620.5095825195312,0.9921228289604187,1724.2337646484375,799.3320922851562,0.9968286156654358,1684.472900390625,699.87255859375,0.9995757937431335,1526.9326171875,701.3419799804688,0.9985136389732361,1557.6705322265625,802.464111328125,0.999944806098938
7,1415.642,617.317,1.0,1399.323,605.929,1.0,1393.106,618.034,1.0,1400.175,627.392,1.0,1410.245,630.554,1.0,1416.45,634.077,0.34299999475479126,1424.818,596.373,1.0,1446.348,572.41,1.0,1264.049,591.395,1.0,1275.262,578.409,1.0,1261.907,566.134,1.0,1255.001,568.68,1.0,1250.205,576.228,1.0,1253.74,588.321,1.0,1022.3707885742188,622.1583862304688,0.9989148378372192,1031.2081298828125,536.2080688476562,0.999546229839325,862.5208129882812,535.6231689453125,0.9978273510932922,844.1494750976562,620.5095825195312,0.9920569062232971,1724.2337646484375,799.3228149414062,0.9967834949493408,1684.47412109375,699.87890625,0.9995375871658325,1526.902587890625,701.32861328125,0.9985017776489258,1557.64404296875,802.4723510742188,0.9999475479125977
8,1415.642,617.233,1.0,1399.323,606.064,1.0,1393.106,618.061,1.0,1400.251,627.429,1.0,1410.144,630.565,1.0,1416.45,634.077,0.6399999856948853,1424.818,596.373,1.0,1446.363,572.491,1.0,1264.102,591.34,1.0,1275.262,578.448,1.0,1261.677,566.151,1.0,1255.001,568.586,1.0,1250.203,576.228,1.0,1253.74,588.321,1.0,1022.36669921875,622.1546630859375,0.9988625049591064,1031.221923828125,536.21337890625,0.9995405673980713,862.5208129882812,535.61572265625,0.997897744178772,844.1494750976562,620.5095825195312,0.9921056032180786,1724.2337646484375,799.3228149414062,0.9965923428535461,1684.5296630859375,699.8936767578125,0.9995647072792053,1526.896728515625,701.2843017578125,0.9986104965209961,1557.6705322265625,802.5114135742188,0.9999434947967529
9,1415.642,617.189,1.0,1399.15,606.085,1.0,1393.038,618.233,1.0,1400.373,627.789,1.0,1410.292,630.565,1.0,1415.503,634.03,0.9599999785423279,1424.692,596.373,1.0,1446.363,572.519,1.0,1264.134,591.34,1.0,1275.262,578.408,1.0,1261.544,566.213,1.0,1255.074,568.505,1.0,1249.966,576.225,1.0,1253.865,588.272,1.0,1022.36669921875,622.153564453125,0.9989089965820312,1031.221923828125,536.2080688476562,0.9995421171188354,862.533935546875,535.587646484375,0.9979212880134583,844.1629638671875,620.5025634765625,0.9922686219215393,1724.216552734375,799.3320922851562,0.9964277148246765,1684.543212890625,699.8936767578125,0.9995675683021545,1526.896728515625,701.2587890625,0.9985408782958984,1557.6832275390625,802.5323486328125,0.9999486207962036
10,1415.638,617.233,1.0,1398.888,606.126,1.0,1392.745,618.233,1.0,1400.373,627.884,1.0,1410.144,630.695,1.0,1415.216,633.566,0.996999979019165,1424.692,596.405,1.0,1446.343,572.629,1.0,1264.238,591.287,1.0,1275.3,578.448,1.0,1261.475,566.554,1.0,1255.074,568.505,1.0,1249.966,576.148,1.0,1253.865,588.272,1.0,1022.36669921875,622.153564453125,0.9989043474197388,1031.221923828125,536.21337890625,0.9995418787002563,862.533935546875,535.587646484375,0.9977959394454956,844.165771484375,620.5025634765625,0.9922400712966919,1724.1951904296875,799.3896484375,0.9969308972358704,1684.5555419921875,699.9002075195312,0.999580442905426,1526.8817138671875,701.2587890625,0.998514711856842,1557.6923828125,802.535888671875,0.9999463558197021
11,1415.638,617.396,1.0,1398.828,606.15,1.0,1392.745,618.233,1.0,1400.373,627.884,1.0,1410.132,630.705,1.0,1414.871,633.46,0.9660000205039978,1424.692,596.494,1.0,1446.243,572.629,1.0,1264.238,591.287,1.0,1275.3,578.448,1.0,1261.412,566.7,1.0,1255.0,568.502,1.0,1250.101,576.225,1.0,1253.865,588.272,1.0,1022.3408813476562,622.1752319335938,0.9989020824432373,1031.193359375,536.214111328125,0.9995506405830383,862.5136108398438,535.587646484375,0.9979956150054932,844.165771484375,620.5025634765625,0.9923237562179565,1724.18994140625,799.3944702148438,0.9972270131111145,1684.5555419921875,699.9002075195312,0.9996182918548584,1526.8787841796875,701.2418212890625,0.9985517859458923,1557.6937255859375,802.535888671875,0.9999469518661499
12,1415.638,616.975,1.0,1398.732,606.15,1.0,1392.688,617.947,1.0,1400.373,627.884,1.0,1410.114,630.695,1.0,1414.842,633.168,1.0,1424.692,596.494,1.0,1446.022,572.624,1.0,1264.238,590.837,1.0,1275.262,578.448,1.0,1261.232,566.7,1.0,1254.801,568.502,1.0,1250.101,576.148,1.0,1253.364,588.142,1.0,1022.29541015625,622.1522216796875,0.9989394545555115,1031.1763916015625,536.214111328125,0.9995182752609253,862.5037231445312,535.5377807617188,0.9978684186935425,844.1629638671875,620.5025634765625,0.9922106266021729,1724.1800537109375,799.3944702148438,0.997191846370697,1684.5296630859375,699.9002075195312,0.9995629191398621,1526.8011474609375,701.229736328125,0.9985331296920776,1557.6937255859375,802.5323486328125,0.9999464750289917
13,1415.638,616.928,1.0,1398.658,606.085,1.0,1392.66,617.626,1.0,1400.307,627.883,1.0,1409.795,630.412,1.0,1414.261,632.762,0.9990000128746033,1424.616,596.244,1.0,1445.974,572.519,1.0,1263.854,590.797,1.0,1275.253,578.351,1.0,1261.124,566.554,1.0,1254.65,568.396,1.0,1249.745,575.764,1.0,1253.362,588.08,1.0,1022.274169921875,622.1011352539062,0.9989235997200012,1031.1563720703125,536.197998046875,0.999527096748352,862.5037231445312,535.5377807617188,0.9978530406951904,844.1316528320312,620.4832153320312,0.9921735525131226,1724.11962890625,799.3896484375,0.9974008798599243,1684.4893798828125,699.8812866210938,0.9995608925819397,1526.78759765625,701.1913452148438,0.9985730648040771,1557.6832275390625,802.5200805664062,0.9999502897262573
